S.no,APIs,Average,95% Line,99% Line,Max,TPS
1,API-1,1091,269,729,1051,2
2,API-2,1091,130,179,206,2
3,API-3,1091,110,160,183,2
4,API-4,1089,111,160,191,2
5,API-5,1089,109,151,180,2
6,API-6,1089,111,157,184,2
7,API-7,1088,127,176,213,2
8,API-8,1088,118,162,190,2
9,API-9,1088,106,148,171,2
10,API-10,1088,149,204,298,2
11,API-11,1087,122,180,252,2
12,API-12,1087,132,178,277,2
13,API-13,1086,119,166,401,2
14,API-14,1086,106,147,168,2
15,API-15,1086,106,151,171,2
16,API-16,1085,140,194,222,2
17,API-17,1085,501,574,622,2
18,API-18,1085,487,551,589,2
19,API-19,1083,106,149,172,2
20,API-20,1083,107,153,182,2
21,API-21,1083,210,266,896,2
22,API-22,1083,121,164,191,2
23,API-23,1082,111,152,183,2
24,API-24,1082,219,273,303,2
25,API-25,1081,109,150,177,2